2000년 1월 9일 	 JD=2451520
2000년 1월 10일 	 JD=2451521
2000년 1월 11일 	 JD=2451522
2000년 1월 12일 	 JD=2451523
2000년 1월 13일 	 JD=2451524
2000년 1월 14일 	 JD=2451525
2000년 1월 15일 	 JD=2451526
2000년 1월 16일 	 JD=2451527
2000년 1월 17일 	 JD=2451528
2000년 1월 18일 	 JD=2451529
2000년 1월 19일 	 JD=2451530
2000년 1월 20일 	 JD=2451531
2000년 1월 21일 	 JD=2451532
2000년 1월 22일 	 JD=2451533
2000년 1월 23일 	 JD=2451534
2000년 1월 24일 	 JD=2451535
2000년 1월 25일 	 JD=2451536
2000년 1월 26일 	 JD=2451537
2000년 1월 27일 	 JD=2451538
2000년 1월 28일 	 JD=2451539
2000년 1월 29일 	 JD=2451540
2000년 1월 30일 	 JD=2451541
2000년 1월 31일 	 JD=2451542
2000년 2월 1일 	 JD=2451542
2000년 2월 2일 	 JD=2451543
2000년 2월 3일 	 JD=2451544
2000년 2월 4일 	 JD=2451545
2000년 2월 5일 	 JD=2451546
2000년 2월 6일 	 JD=2451547
2000년 2월 7일 	 JD=2451548
2000년 2월 8일 	 JD=2451549
2000년 2월 9일 	 JD=2451550
2000년 2월 10일 	 JD=2451551
2000년 2월 11일 	 JD=2451552
2000년 2월 12일 	 JD=2451553
2000년 2월 13일 	 JD=2451554
2000년 2월 14일 	 JD=2451555
2000년 2월 15일 	 JD=2451556
2000년 2월 16일 	 JD=2451557
2000년 2월 17일 	 JD=2451558
2000년 2월 18일 	 JD=2451559
2000년 2월 19일 	 JD=2451560
2000년 2월 20일 	 JD=2451561
2000년 2월 21일 	 JD=2451562
2000년 2월 22일 	 JD=2451563
2000년 2월 23일 	 JD=2451564
2000년 2월 24일 	 JD=2451565
2000년 2월 25일 	 JD=2451566
2000년 2월 26일 	 JD=2451567
2000년 2월 27일 	 JD=2451568
2000년 2월 28일 	 JD=2451569
2000년 2월 29일 	 JD=2451570
2000년 3월 1일 	 JD=2451573
2000년 3월 2일 	 JD=2451574
2000년 3월 3일 	 JD=2451575
2000년 3월 4일 	 JD=2451576
2000년 3월 5일 	 JD=2451577
2000년 3월 6일 	 JD=2451578
2000년 3월 7일 	 JD=2451579
2000년 3월 8일 	 JD=2451580
2000년 3월 9일 	 JD=2451581
2000년 3월 10일 	 JD=2451582
2000년 3월 11일 	 JD=2451583
2000년 3월 12일 	 JD=2451584
2000년 3월 13일 	 JD=2451585
2000년 3월 14일 	 JD=2451586
2000년 3월 15일 	 JD=2451587
2000년 3월 16일 	 JD=2451588
2000년 3월 17일 	 JD=2451589
2000년 3월 18일 	 JD=2451590
2000년 3월 19일 	 JD=2451591
2000년 3월 20일 	 JD=2451592
2000년 3월 21일 	 JD=2451593
2000년 3월 22일 	 JD=2451594
2000년 3월 23일 	 JD=2451595
2000년 3월 24일 	 JD=2451596
2000년 3월 25일 	 JD=2451597
2000년 3월 26일 	 JD=2451598
2000년 3월 27일 	 JD=2451599
2000년 3월 28일 	 JD=2451600
2000년 3월 29일 	 JD=2451601
2000년 3월 30일 	 JD=2451602
2000년 3월 31일 	 JD=2451603
2000년 4월 1일 	 JD=2451603
2000년 4월 2일 	 JD=2451604
2000년 4월 3일 	 JD=2451605
2000년 4월 4일 	 JD=2451606
2000년 4월 5일 	 JD=2451607
2000년 4월 6일 	 JD=2451608
2000년 4월 7일 	 JD=2451609
2000년 4월 8일 	 JD=2451610
2000년 4월 9일 	 JD=2451611
2000년 4월 10일 	 JD=2451612
2000년 4월 11일 	 JD=2451613
2000년 4월 12일 	 JD=2451614
2000년 4월 13일 	 JD=2451615
2000년 4월 14일 	 JD=2451616
2000년 4월 15일 	 JD=2451617
2000년 4월 16일 	 JD=2451618
2000년 4월 17일 	 JD=2451619
2000년 4월 18일 	 JD=2451620
2000년 4월 19일 	 JD=2451621
2000년 4월 20일 	 JD=2451622
2000년 4월 21일 	 JD=2451623
2000년 4월 22일 	 JD=2451624
2000년 4월 23일 	 JD=2451625
2000년 4월 24일 	 JD=2451626
2000년 4월 25일 	 JD=2451627
2000년 4월 26일 	 JD=2451628
2000년 4월 27일 	 JD=2451629
2000년 4월 28일 	 JD=2451630
2000년 4월 29일 	 JD=2451631
2000년 4월 30일 	 JD=2451632
2000년 5월 1일 	 JD=2451634
